"Rank","Risk_Score","Converted_Score","Positives","Negatives","Numbers","Expected_Rate","Event_Rate","Event_Rate_lower","Event_Rate_upper","Expected_Rate","Cumulative_Cases","Cumulative_Positives","Cumulative_Negatives","True_Positives","False_Positives","False_Negatives","True_Negatives","Percent_Events","PPV","NPV","Sensitivity","Specificity","cstat"
1,3194.00000000014,3194,1597,6273,7870,574.725031766201,0.20292249047014,0.194117167793252,0.211885915822833,574.725031766201,7870,1597,6273,1597,6273,8297,773135,0.161410956135031,0.20292249047014,0.989382313496248,0.161410956135031,0.99195158376614,0.823313277672692
0.99,433.000000000052,433,800,7093,7893,385.291777524389,0.101355631572279,0.0948042845163722,0.108118507965659,385.291777524389,15763,2397,13366,2397,13366,7497,766042,0.242268041237113,0.152064962253378,0.990308180970837,0.242268041237113,0.982851086978835,0.823313277672692
0.98,347.000000000065,347,586,7342,7928,322.312436932392,0.0739152371342079,0.0682695055818392,0.0797860537555573,322.312436932392,23691,2983,20708,2983,20708,6911,758700,0.301495856074389,0.125912793887974,0.990973222694031,0.301495856074389,0.973431116950301,0.823313277672692
0.97,299.999999999832,300,503,7294,7797,281.985763755291,0.0645119917917148,0.0591769949705856,0.0700809019262125,281.985763755291,31488,3486,28002,3486,28002,6408,751406,0.352334748332323,0.110708841463415,0.99154409921168,0.352334748332323,0.964072732124895,0.823313277672692
0.96,266.000000000097,266,441,7667,8108,252.950172668969,0.0543907252096695,0.0495702647330503,0.0594413506338501,252.950172668969,39596,3927,35669,3927,35669,5967,743739,0.396907216494845,0.0991766845135872,0.99204088002497,0.396907216494845,0.954235778950178,0.823313277672692
0.95,239.999999999974,240,399,7263,7662,231.998303315061,0.0520751761942052,0.0472236695344126,0.0571715071522831,231.998303315061,47258,4326,42932,4326,42932,5568,736476,0.437234687689509,0.091540056709975,0.992496401830619,0.437234687689509,0.944917167901792,0.823313277672692
0.94,225.000000000089,225,373,7760,8133,213.226853559572,0.0458625353498094,0.0414340157445744,0.0505248975507396,213.226853559572,55391,4699,50692,4699,50692,5195,728716,0.474934303618355,0.0848332761639978,0.992921485030201,0.474934303618355,0.934960893396013,0.823313277672692
0.93,202.999999999992,203,253,7417,7670,193.240938722295,0.0329856584093872,0.0291171443289134,0.037109140410444,193.240938722295,63061,4952,58109,4952,58109,4942,721299,0.500505356781888,0.0785271403878784,0.993195096393621,0.500505356781888,0.925444696487591,0.823313277672692
0.92,186.000000000068,186,291,6234,6525,181.172107279693,0.0445977011494253,0.0397365241786476,0.0497511443274014,181.172107279693,69586,5243,64343,5243,64343,4651,715065,0.52991712148777,0.0753456154973702,0.993537728770793,0.52991712148777,0.917446318231273,0.823313277672692
0.91,177.000000000042,177,258,8978,9236,173.794066695539,0.0279341706366392,0.024681290667572,0.0314010796996212,173.794066695539,78822,5501,73321,5501,73321,4393,706087,0.555993531433192,0.0697901601075842,0.993816856209886,0.555993531433192,0.905927319196108,0.823313277672692
0.9,167.000000000027,167,200,7428,7628,156.876245411641,0.0262191924488726,0.0227644546311108,0.0299339987878497,156.876245411641,86450,5701,80749,5701,80749,4193,698659,0.576207802708712,0.0659456333140544,0.994034305942076,0.576207802708712,0.896397009011968,0.823313277672692
0.89,149.000000000056,149,161,5997,6158,143.246021435531,0.0261448522247483,0.0223219528739072,0.0302899257831495,143.246021435531,92608,5862,86746,5862,86746,4032,692662,0.592480291085506,0.0632990670352453,0.994212667254203,0.592480291085506,0.888702707696098,0.823313277672692
0.86,136.000000000015,136,569,40280,40849,136,0.0139293495556807,0.0128178426216361,0.0150906917800756,136,133457,6431,127026,6431,127026,3463,652382,0.649989892864362,0.0481878058101111,0.994719788974529,0.649989892864362,0.837022458070741,0.823313277672692
0.84,135.999999999906,136,22,749,771,134.294422827497,0.0285343709468223,0.0180890213633067,0.0415329341481832,134.294422827497,134228,6453,127775,6453,127775,3441,651633,0.65221346270467,0.0480749173048842,0.99474715833631,0.65221346270467,0.836061472296923,0.823313277672692
0.83,132.999999999922,133,190,9246,9436,126.663840610428,0.0201356506994489,0.0174087574912709,0.023075478194418,126.663840610428,143664,6643,137021,6643,137021,3251,642387,0.671417020416414,0.046239837398374,0.99496467060489,0.671417020416414,0.82419862254429,0.823313277672692
0.82,123.999999999968,124,101,7061,7162,120.123568835521,0.014102206087685,0.0115146747310039,0.0169737203043203,120.123568835521,150826,6744,144082,6744,144082,3150,635326,0.681625227410552,0.0447137761393924,0.995066376809778,0.681625227410552,0.81513918255907,0.823313277672692
